날짜,day,m,prod,ppl,tmean,pmean,pmax,pid,cnt,same_prev
20210101,5,1,0,0.0,-1.1958333333333333,46.25,107,0,1,False
20210102,6,1,0,0.0,-0.17499999999999996,46.333333333333336,107,1,7,False
20210103,7,1,0,0.0,-0.4791666666666667,22.875,25,2,2,False
20210104,1,1,13672,23.80438332,1.0,121.5,160,3,4,False
20210105,2,1,0,0.0,1.1541666666666666,21.916666666666668,24,4,15,False
20210106,3,1,0,0.0,-3.420833333333333,21.916666666666668,24,4,15,True
20210107,4,1,16805,38.549225813,-6.545833333333333,104.29166666666667,175,5,3,False
20210108,5,1,21783,37.593757449,-8.825000000000001,125.45833333333333,166,6,4,False
20210109,6,1,667,2.531780868,-6.7625,85.91666666666667,169,7,1,False
20210110,7,1,0,0.0,-3.5708333333333333,73.25,164,8,1,False
20210111,1,1,11267,19.068225447,-1.2583333333333333,127.33333333333333,168,9,4,False
20210112,2,1,0,0.0,0.024999999999999984,21.916666666666668,24,4,15,False
20210113,3,1,0,0.0,4.966666666666667,21.916666666666668,24,4,15,True
20210114,4,1,17561,32.557626202,6.958333333333333,112.33333333333333,186,10,3,False
20210115,5,1,14345,23.164561677,10.0625,137.875,188,11,4,False
20210116,6,1,699,2.392484691,4.6375,79.58333333333333,177,12,1,False
20210117,7,1,24,0.035608309,-1.5291666666666668,140.45833333333334,190,13,4,False
20210118,1,1,15145,24.470193581,0.7208333333333333,133.70833333333334,177,14,4,False
20210119,2,1,0,0.0,-1.7208333333333332,21.916666666666668,24,4,15,False
20210120,3,1,0,0.0,3.0374999999999996,21.916666666666668,24,4,15,True
20210121,4,1,17215,49.358051393000004,6.729166666666667,112.5,190,15,2,False
20210122,5,1,15307,26.506511051,9.070833333333333,134.0,172,16,4,False
20210123,6,1,3180,7.59311663,10.329166666666667,129.08333333333334,163,17,4,False
20210124,7,1,0,0.0,8.870833333333334,135.83333333333334,182,18,4,False
20210125,1,1,14441,23.810892527,8.870833333333334,134.95833333333334,180,19,4,False
20210126,2,1,0,0.0,6.954166666666667,21.916666666666668,24,4,15,False
20210127,3,1,0,0.0,5.9375,21.916666666666668,24,4,15,True
20210128,4,1,13830,33.868149489,3.75,112.20833333333333,185,20,2,False
20210129,5,1,16340,26.863222969,-3.608333333333333,138.04166666666666,202,21,3,False
20210130,6,1,1532,3.498266212,2.029166666666667,131.79166666666666,180,22,3,False
20210131,7,1,0,0.0,6.545833333333333,21.916666666666668,24,4,15,False
20210201,1,2,20368,32.848991557,10.629166666666666,128.95833333333334,179,23,3,False
20210202,2,2,20128,32.43027648,1.9041666666666666,129.54166666666666,182,24,3,False
20210203,3,2,14536,27.236536721,-0.5291666666666667,127.375,170,25,3,False
20210204,4,2,14411,26.793216283,3.6666666666666665,121.5,160,3,4,False
20210205,5,2,19048,183.48645745800002,4.825,46.333333333333336,107,1,7,False
20210206,6,2,2871,8.993086068,8.549999999999999,47.333333333333336,109,26,6,False
20210207,7,2,0,0.0,9.083333333333334,22.875,25,27,5,False
20210208,1,2,15707,25.258477284,2.2958333333333334,125.45833333333333,166,6,4,False
20210209,2,2,15164,27.235017487,1.6458333333333333,127.0,172,28,3,False
20210210,3,2,7576,13.892681524,6.029166666666666,126.16666666666667,166,29,3,False
20210211,4,2,0,0.0,6.991666666666667,127.33333333333333,168,9,4,False
20210212,5,2,0,0.0,8.958333333333334,47.333333333333336,109,26,6,False
20210213,6,2,0,0.0,10.516666666666667,47.333333333333336,109,26,6,True
20210214,7,2,0,0.0,10.5,22.875,25,27,5,False
20210215,1,2,15827,24.043008009,8.950000000000001,137.875,188,11,4,False
20210216,2,2,19266,31.869379741,1.1166666666666667,135.5,180,30,3,False
20210217,3,2,19628,32.130022486,-3.6125000000000003,140.45833333333334,190,13,4,False
20210218,4,2,16183,27.300474426,-4.05,133.70833333333334,177,14,4,False
20210219,5,2,20786,201.607704668,3.9166666666666665,46.375,115,31,2,False
20210220,6,2,2428,7.811036646,12.908333333333333,47.333333333333336,109,26,6,False
20210221,7,2,0,0.0,16.3875,22.875,25,27,5,False
20210222,1,2,20273,32.147840205,16.941666666666666,134.0,172,16,4,False
20210223,2,2,20049,34.78314872,6.708333333333333,129.08333333333334,163,17,4,False
20210224,3,2,14979,24.407440797,5.920833333333333,135.83333333333334,182,18,4,False
20210225,4,2,19571,32.193201936,6.858333333333333,134.95833333333334,180,19,4,False
20210226,5,2,16936,159.812460689,8.5875,50.25,125,32,2,False
20210227,6,2,2365,8.08882339,7.125,47.333333333333336,109,26,6,False
20210228,7,2,0,0.0,9.325000000000001,22.875,25,27,5,False
20210301,1,3,0,0.0,11.7125,128.95833333333334,179,23,3,False
20210302,2,3,18267,29.15181612,2.8833333333333333,129.54166666666666,182,24,3,False
20210303,3,3,17220,31.420174585999998,4.4125,127.375,170,25,3,False
20210304,4,3,14500,27.834637484,7.920833333333333,121.5,160,3,4,False
20210305,5,3,0,0.0,11.191666666666668,21.916666666666668,24,4,15,False
20210306,6,3,2362,8.255345219,7.429166666666667,46.333333333333336,107,1,7,False
20210307,7,3,0,0.0,5.258333333333334,104.29166666666667,175,5,3,False
20210308,1,3,14362,23.37055677,6.229166666666667,125.45833333333333,166,6,4,False
20210309,2,3,17492,29.134177638,8.320833333333333,127.0,172,28,3,False
20210310,3,3,13519,24.419566044,9.004166666666666,126.16666666666667,166,29,3,False
20210311,4,3,17899,31.440845063999998,8.916666666666666,127.33333333333333,168,9,4,False
20210312,5,3,0,0.0,9.620833333333334,21.916666666666668,24,4,15,False
20210313,6,3,1610,5.891364311999999,9.954166666666667,46.333333333333336,107,1,7,False
20210314,7,3,0,0.0,10.379166666666666,112.33333333333333,186,10,3,False
20210315,1,3,16373,28.483738525,12.25,137.875,188,11,4,False
20210316,2,3,19441,33.468515967,15.529166666666667,135.5,180,30,3,False
20210317,3,3,15807,24.581173053,9.975,140.45833333333334,190,13,4,False
20210318,4,3,15939,26.280762389,9.779166666666667,133.70833333333334,177,14,4,False
20210319,5,3,0,0.0,10.987499999999999,21.916666666666668,24,4,15,False
20210320,6,3,1297,4.291888126,10.375,46.333333333333336,107,1,7,False
20210321,7,3,0,0.0,9.975,111.08333333333333,190,33,1,False
20210322,1,3,20869,34.005647603,7.695833333333333,134.0,172,16,4,False
20210323,2,3,21418,36.312375251,11.491666666666667,129.08333333333334,163,17,4,False
20210324,3,3,16284,26.588260384999998,13.154166666666667,135.83333333333334,182,18,4,False
20210325,4,3,18867,29.742206649,13.833333333333334,134.95833333333334,180,19,4,False
20210326,5,3,0,0.0,14.779166666666667,21.916666666666668,24,4,15,False
20210327,6,3,1967,5.981681112,13.316666666666668,46.333333333333336,107,1,7,False
20210328,7,3,0,0.0,17.466666666666665,110.66666666666667,185,34,1,False
20210329,1,3,15502,23.073715097999997,16.125,138.04166666666666,202,21,3,False
20210330,2,3,24212,47.372487926,13.458333333333334,131.79166666666666,180,22,3,False
20210331,3,3,0,0.0,12.295833333333334,21.916666666666668,24,4,15,False
20210401,4,4,14821,40.114307639,13.2875,101.08333333333333,179,35,3,False
20210402,5,4,2134,4.543317319,14.0,130.70833333333334,173,36,3,False
20210403,6,4,56,0.195121951,14.549999999999999,45.625,109,37,2,False
20210404,7,4,0,0.0,10.266666666666667,21.625,24,38,2,False
20210405,1,4,17709,29.799269578,10.0375,101.08333333333333,179,35,3,False
20210406,2,4,18060,32.951081224999996,11.316666666666668,130.70833333333334,173,36,3,False
20210407,3,4,16556,42.048175740000005,14.9125,103.58333333333333,186,39,2,False
20210408,4,4,15068,29.737559489,13.070833333333333,119.83333333333333,172,40,2,False
