구분,조건,n,MAE,평균오차,실제평균
시각,h=0,87.0,5.02,-0.46,51.31
시각,h=1,87.0,5.8,-1.42,71.59
시각,h=2,87.0,6.07,-0.46,74.45
시각,h=3,87.0,5.73,-2.0,71.64
시각,h=4,87.0,6.42,-0.87,73.46
시각,h=5,87.0,6.7,-3.34,64.15
시각,h=6,87.0,7.37,-2.33,73.66
시각,h=7,87.0,8.76,-0.69,84.31
시각,h=8,87.0,12.69,2.66,118.59
시각,h=9,87.0,11.68,2.55,117.69
시각,h=10,87.0,11.12,-0.29,113.68
시각,h=11,87.0,13.4,4.93,119.84
시각,h=12,87.0,6.17,-0.26,75.92
시각,h=13,88.0,10.66,1.59,114.75
시각,h=14,88.0,11.26,1.64,116.24
시각,h=15,88.0,9.07,-1.09,107.48
시각,h=16,88.0,10.34,0.97,110.49
시각,h=17,87.0,7.89,-1.73,91.15
시각,h=18,87.0,10.46,-0.35,104.63
시각,h=19,87.0,9.85,-2.04,96.78
시각,h=20,87.0,8.29,0.1,82.98
시각,h=21,87.0,7.23,0.05,82.17
시각,h=22,87.0,6.75,-2.22,76.18
시각,h=23,87.0,6.39,-2.02,72.43
요일,dow=금,288.0,7.4,0.95,121.06
요일,dow=목,288.0,10.42,2.15,123.07
요일,dow=수,311.0,18.16,-5.48,110.43
요일,dow=월,312.0,8.98,0.24,99.76
요일,dow=일,324.0,1.89,-0.49,22.85
요일,dow=토,305.0,4.46,-0.74,42.3
요일,dow=화,264.0,8.83,1.91,124.13
교대 전환 시각,7·12·17시=그 외,1831.0,8.68,-0.21,91.2
교대 전환 시각,7·12·17시=해당,261.0,7.6,-0.89,83.79
휴무 직후,after_off=그 외,1612.0,9.01,-0.3,95.6
휴무 직후,after_off=휴무 다음날,480.0,7.0,-0.26,72.39
직전 연속휴무,off_run_prev=0일,1612.0,9.01,-0.3,95.6
직전 연속휴무,off_run_prev=1일,288.0,9.25,-1.47,99.11
직전 연속휴무,off_run_prev=2일,24.0,3.88,2.82,21.46
직전 연속휴무,off_run_prev=3일 이상,168.0,3.58,1.38,33.88
생산량 구간,prod=0,864.0,6.92,-4.11,29.11
생산량 구간,prod=1-300,486.0,7.16,0.24,106.17
생산량 구간,prod=300-900,302.0,10.63,3.11,138.0
생산량 구간,prod=900+,440.0,11.87,4.28,160.06
생산0 고부하,prod=0 & 실제>100=그 외,2064.0,8.57,-0.37,89.98
생산0 고부하,prod=0 & 실제>100=해당,28.0,6.77,5.52,111.68
기온 구간,temp=5-15,80.0,10.15,0.69,95.58
기온 구간,temp=15-22,487.0,10.53,-2.71,89.13
기온 구간,temp=22-26,988.0,7.96,-1.33,91.05
기온 구간,temp=26+,537.0,7.6,3.66,89.09
피크 여부,peak=비피크,1903.0,7.76,-1.91,81.01
피크 여부,peak=피크(상위5%),189.0,16.48,16.02,183.59
생산량 급변,|전시간 대비|=0-100,1025.0,7.2,-2.96,48.3
생산량 급변,|전시간 대비|=100-500,429.0,9.08,2.23,128.83
생산량 급변,|전시간 대비|=500-1500,335.0,11.33,2.1,143.67
생산량 급변,|전시간 대비|=1500+,216.0,11.02,3.7,145.75
