run,seed,fold,MAE,RMSE,peakMAE,n
0 기준 (lgbm·full·strict·keep),0,ALL,11.302662389721045,19.716313141279198,17.117553580301397,1757
0 기준 (lgbm·full·strict·keep),0,2021-05,18.805765789984395,33.716029900915565,25.11174583239296,336
0 기준 (lgbm·full·strict·keep),0,2021-06,1.097710250331845,1.459327775417783,,48
0 기준 (lgbm·full·strict·keep),0,2021-07,11.17952832217097,16.162406890404235,20.74294157031746,648
0 기준 (lgbm·full·strict·keep),0,2021-08,8.611056646237795,13.476618751783366,9.865168944650321,725
0 기준 (lgbm·full·strict·keep),1,ALL,11.757312523458765,19.83477949573978,18.302892476806015,1757
0 기준 (lgbm·full·strict·keep),1,2021-05,17.27048445794996,31.156533918699544,25.53963079108895,336
0 기준 (lgbm·full·strict·keep),1,2021-06,1.2373805772168294,1.575553440541657,,48
0 기준 (lgbm·full·strict·keep),1,2021-07,12.411120343632087,18.493213186326415,22.66047752688217,648
0 기준 (lgbm·full·strict·keep),1,2021-08,9.31436562133223,14.060786987637801,9.793858235941832,725
0 기준 (lgbm·full·strict·keep),2,ALL,10.964371765032006,19.704503841795045,17.444381396645937,1757
0 기준 (lgbm·full·strict·keep),2,2021-05,18.29766976249667,33.90811281639562,24.482794144305593,336
0 기준 (lgbm·full·strict·keep),2,2021-06,1.1305089885341912,1.491902029144664,,48
0 기준 (lgbm·full·strict·keep),2,2021-07,10.95628651078377,16.484949085805752,22.220827740462816,648
0 기준 (lgbm·full·strict·keep),2,2021-08,8.22406353175838,12.847294847238723,8.19585442907686,725
1 복제일 학습 제외,0,ALL,15.441607674687177,24.328063178996985,25.749599317255996,1421
1 복제일 학습 제외,0,2021-06,13.05953752139316,14.94945980136349,,48
1 복제일 학습 제외,0,2021-07,11.766580054091675,18.1819535657937,26.57206010327208,648
1 복제일 학습 제외,0,2021-08,18.884031489175452,29.150739226967158,21.519800989173298,725
1 복제일 학습 제외,1,ALL,15.637195466278122,25.83158925525107,24.820470557220858,1421
1 복제일 학습 제외,1,2021-06,4.502403231551246,7.170968556933513,,48
1 복제일 학습 제외,1,2021-07,11.4319177292842,18.311970775853148,25.95367549206169,648
1 복제일 학습 제외,1,2021-08,20.13304374329736,31.697516069948033,18.992559463753715,725
1 복제일 학습 제외,2,ALL,16.03668929908673,25.16884610609229,23.940516610689322,1421
1 복제일 학습 제외,2,2021-06,7.796287539814396,9.992263958264738,,48
1 복제일 학습 제외,2,2021-07,11.789118463680047,17.950944106645753,24.232554702984114,648
1 복제일 학습 제외,2,2021-08,20.378710245002047,30.773034934785496,22.43860642174471,725
2 복제일 가중치 0.3,0,ALL,10.206732221828375,18.813309208198895,16.77503886782109,1757
2 복제일 가중치 0.3,0,2021-05,19.889111536529658,36.34606720906728,28.263153691911942,336
2 복제일 가중치 0.3,0,2021-06,1.3301983137134494,1.655552043291839,,48
2 복제일 가중치 0.3,0,2021-07,9.168126331514966,13.205978736667541,20.556853345528705,648
2 복제일 가중치 0.3,0,2021-08,7.235436766342827,9.45872765760211,8.933504388446739,725
2 복제일 가중치 0.3,1,ALL,10.934066304662236,19.135307378667303,17.605254795148113,1757
2 복제일 가중치 0.3,1,2021-05,18.935958712606958,34.83033682623168,26.005954465422054,336
2 복제일 가중치 0.3,1,2021-06,1.2673918587505533,1.615226043379192,,48
2 복제일 가중치 0.3,1,2021-07,10.954786411671174,15.605797418028242,21.99176824513088,648
2 복제일 가중치 0.3,1,2021-08,7.847084090858848,10.358016328139215,8.94184455480434,725
2 복제일 가중치 0.3,2,ALL,10.031158429580557,18.36226954406166,16.886602008934908,1757
2 복제일 가중치 0.3,2,2021-05,20.110336007052574,35.16546440413266,27.940047944503174,336
2 복제일 가중치 0.3,2,2021-06,1.0057928638853506,1.2950586737765928,,48
2 복제일 가중치 0.3,2,2021-07,9.504601829026647,13.418291069334288,20.029691479514007,648
2 복제일 가중치 0.3,2,2021-08,6.428155061693254,9.109198628311974,10.237383673014063,725
3 누락일 포함 (train_ok),0,ALL,12.215864466290485,22.789303733732158,19.303087532227387,1757
3 누락일 포함 (train_ok),0,2021-05,20.411303461198948,38.6527058574607,22.739899783893055,336
3 누락일 포함 (train_ok),0,2021-06,1.1258468569869817,1.4651711258441908,,48
3 누락일 포함 (train_ok),0,2021-07,10.021556937845032,15.71180509117351,21.57066025845025,648
3 누락일 포함 (train_ok),0,2021-08,11.11319497855252,18.58581623980672,14.964364026830584,725
3 누락일 포함 (train_ok),1,ALL,12.758316447112572,23.146209391193764,19.914359753812764,1757
3 누락일 포함 (train_ok),1,2021-05,20.952818128245717,38.32747666714244,19.415803447709727,336
3 누락일 포함 (train_ok),1,2021-06,1.1941969229744893,1.5679994656016196,,48
3 누락일 포함 (train_ok),1,2021-07,10.246899122694415,15.728031391957487,21.62024827063745,648
3 누락일 포함 (train_ok),1,2021-08,11.970900720934441,19.907046564296344,16.86677568348767,725
3 누락일 포함 (train_ok),2,ALL,13.02335749185947,23.419667792628562,19.556464619014466,1757
3 누락일 포함 (train_ok),2,2021-05,20.859795636693715,39.78458799254958,22.38570413468456,336
3 누락일 포함 (train_ok),2,2021-06,1.1233106075570654,1.461738880981325,,48
3 누락일 포함 (train_ok),2,2021-07,9.902749465286245,15.414928238841139,21.645827844199026,648
3 누락일 포함 (train_ok),2,2021-08,12.968616850482443,19.573916133143825,15.582405491704113,725
4 피처 no_plan (달력+과거전력),0,ALL,24.36940822029301,43.69518535704496,31.336879228224642,1757
4 피처 no_plan (달력+과거전력),0,2021-05,30.66373486445039,50.18885749263267,55.449235085656596,336
4 피처 no_plan (달력+과거전력),0,2021-06,1.2801800430529244,1.7596375888206697,,48
4 피처 no_plan (달력+과거전력),0,2021-07,13.706253392449952,22.24157504527005,29.122208889211546,648
4 피처 no_plan (달력+과거전력),0,2021-08,32.5116337768626,54.929700552248,33.223708449824436,725
4 피처 no_plan (달력+과거전력),1,ALL,24.28483582041485,43.4072410581589,30.293900126605,1757
4 피처 no_plan (달력+과거전력),1,2021-05,29.710866067370098,50.03996321058823,57.01022812212716,336
4 피처 no_plan (달력+과거전력),1,2021-06,1.0580702789779435,1.3901570681950888,,48
4 피처 no_plan (달력+과거전력),1,2021-07,14.372352848984317,23.28893003812365,29.89453634416573,648
4 피처 no_plan (달력+과거전력),1,2021-08,32.16763243903414,54.04499714375275,28.672019944388047,725
4 피처 no_plan (달력+과거전력),2,ALL,23.953015424502237,42.69838350076588,31.71421625020102,1757
4 피처 no_plan (달력+과거전력),2,2021-05,30.560462736072388,50.331005292423214,59.13877746624068,336
4 피처 no_plan (달력+과거전력),2,2021-06,1.0217498499581128,1.3525490428617872,,48
4 피처 no_plan (달력+과거전력),2,2021-07,13.839374897734766,23.518170185269227,32.317073023112414,648
4 피처 no_plan (달력+과거전력),2,2021-08,31.448515441379293,52.438732396993025,28.219180220550637,725
5 RandomForest,0,ALL,12.015283438333684,21.555014915089085,23.063108881900362,1757
5 RandomForest,0,2021-05,16.7933530425426,27.178015685700508,27.06651187591505,336
5 RandomForest,0,2021-06,1.0521569685304424,1.3848498190195628,,48
5 RandomForest,0,2021-07,14.124884251622085,25.73330604240456,29.03077267243761,648
5 RandomForest,0,2021-08,8.641183240437785,13.843998360356242,11.928260015314214,725
5 RandomForest,1,ALL,11.75418322168464,21.397959063438634,23.287348432876623,1757
5 RandomForest,1,2021-05,16.17523635478557,26.018601338752855,28.417667298190338,336
5 RandomForest,1,2021-06,1.0532402074142275,1.3890757330919277,,48
5 RandomForest,1,2021-07,13.708816396834012,25.96492058335856,29.193816440230314,648
5 RandomForest,1,2021-08,8.666692345086396,13.899231036309695,12.16422915070121,725
5 RandomForest,2,ALL,11.88484217613266,21.406535103365343,23.15343996849629,1757
5 RandomForest,2,2021-05,16.60761884223162,26.570538708043085,27.659777507810283,336
5 RandomForest,2,2021-06,1.038563653455389,1.3758630231321687,,48
5 RandomForest,2,2021-07,13.716783529875856,25.638769033311725,29.078157513517283,648
5 RandomForest,2,2021-08,8.7768013651722,13.988272213047596,12.052078655623792,725
6 1주 앞 (h7_full),0,ALL,10.340489355333471,19.069375041180034,18.954087212867663,1757
6 1주 앞 (h7_full),0,2021-05,17.469122907898985,32.37127758207298,16.338245401959192,336
6 1주 앞 (h7_full),0,2021-06,1.405391728555692,1.7895186788614397,,48
6 1주 앞 (h7_full),0,2021-07,9.75096665342689,16.327941908558973,24.708073498995702,648
6 1주 앞 (h7_full),0,2021-08,8.155212835690415,12.534722712363118,8.785992854680895,725
6 1주 앞 (h7_full),1,ALL,9.840730534413316,17.823542850655375,18.071806930978067,1757
6 1주 앞 (h7_full),1,2021-05,16.698555141619057,30.597012219259586,15.208735521398683,336
6 1주 앞 (h7_full),1,2021-06,1.4234274856769933,1.7674006355975367,,48
6 1주 앞 (h7_full),1,2021-07,8.4433123421741,13.774764868918915,22.80811808045975,648
6 1주 앞 (h7_full),1,2021-08,8.468769799088111,12.89222007743953,9.764356205561988,725
6 1주 앞 (h7_full),2,ALL,10.127449941104068,18.148299952341755,18.80392097483707,1757
6 1주 앞 (h7_full),2,2021-05,17.498280024334385,31.076944171746636,15.241287726752574,336
6 1주 앞 (h7_full),2,2021-06,1.392624787131851,1.7840950609394342,,48
6 1주 앞 (h7_full),2,2021-07,9.003124567177972,14.425254347926604,23.349697181345615,648
6 1주 앞 (h7_full),2,2021-08,8.294671377972195,12.82197660978342,10.902135307644835,725
7 1주 앞 (h7_no_plan),0,ALL,20.327345974528466,40.24273148280013,25.439441060977178,1757
7 1주 앞 (h7_no_plan),0,2021-05,20.877614501135287,39.905008664513105,12.95110081603828,336
7 1주 앞 (h7_no_plan),0,2021-06,1.3503821417454258,1.721748691294353,,48
7 1주 앞 (h7_no_plan),0,2021-07,12.135172686012597,20.545055164688176,31.1137583796364,648
7 1주 앞 (h7_no_plan),0,2021-08,28.65083884348292,53.00240149771226,16.281318559271813,725
7 1주 앞 (h7_no_plan),1,ALL,19.99465869990677,40.02109053954204,25.996336996223985,1757
7 1주 앞 (h7_no_plan),1,2021-05,19.835077197640036,38.88047687213711,12.681334173119126,336
7 1주 앞 (h7_no_plan),1,2021-06,1.29752744681008,1.6642560738135777,,48
7 1주 앞 (h7_no_plan),1,2021-07,12.087357099178874,20.487441852909853,30.698705385734016,648
7 1주 앞 (h7_no_plan),1,2021-08,28.373987144295654,52.96863775564857,18.667057522469456,725
7 1주 앞 (h7_no_plan),2,ALL,19.407539106480364,39.377782249684785,23.90083899140225,1757
7 1주 앞 (h7_no_plan),2,2021-05,20.292835466228112,39.732372874211734,10.660875471989232,336
7 1주 앞 (h7_no_plan),2,2021-06,1.2862677971697154,1.603826360425225,,48
7 1주 앞 (h7_no_plan),2,2021-07,11.245627064607163,19.311044185772424,28.920820388291727,648
7 1주 앞 (h7_no_plan),2,2021-08,27.49206386386726,51.89136852188143,15.991044846094344,725
8 조합 (가중치+1주앞),0,ALL,9.32806162096608,17.49597773608703,17.467546318434103,1757
8 조합 (가중치+1주앞),0,2021-05,18.293183263981547,32.62127485243368,15.67001093561808,336
8 조합 (가중치+1주앞),0,2021-06,1.3768463598907168,1.7087221999536228,,48
8 조합 (가중치+1주앞),0,2021-07,8.397492551317711,13.190407143370129,22.552395540217816,648
