run,seed,fold,MAE,RMSE,peakMAE,n
17 [기준] 8번 조합,0,ALL,9.32806162096608,17.49597773608703,17.467546318434103,1757
17 [기준] 8번 조합,0,2021-05,18.293183263981547,32.62127485243368,15.67001093561808,336
17 [기준] 8번 조합,0,2021-06,1.3768463598907168,1.7087221999536228,,48
17 [기준] 8번 조합,0,2021-07,8.397492551317711,13.190407143370129,22.552395540217816,648
17 [기준] 8번 조합,0,2021-08,6.531352955601347,9.641628489615652,8.436813109142143,725
17 [기준] 8번 조합,1,ALL,9.35125892046032,17.38868333607007,18.002677876766416,1757
17 [기준] 8번 조합,1,2021-05,17.511597700722113,32.146449586143305,14.960471828848773,336
17 [기준] 8번 조합,1,2021-06,1.432707756373538,1.8048703925074947,,48
17 [기준] 8번 조합,1,2021-07,8.222347324710531,13.167054215454689,23.077344563932982,648
17 [기준] 8번 조합,1,2021-08,7.102640078741784,9.933306510262415,9.099526323458202,725
17 [기준] 8번 조합,2,ALL,9.52243496841943,17.68157735600863,17.07893244184039,1757
17 [기준] 8번 조합,2,2021-05,18.265585223841214,33.08959604456826,17.34639434017637,336
17 [기준] 8번 조합,2,2021-06,1.4594033726059383,1.8126403211176876,,48
17 [기준] 8번 조합,2,2021-07,8.4084372526339,13.090183912969193,22.000258792593453,648
17 [기준] 8번 조합,2,2021-08,6.999948831324742,9.841313237605121,8.162547816941354,725
18 목적함수 l2,0,ALL,11.9733757891637,20.487727113555014,21.340182496579708,1757
18 목적함수 l2,0,2021-05,19.439209707605443,33.79232576039683,18.095911524437945,336
18 목적함수 l2,0,2021-06,1.2568089812401044,1.5729835330139483,,48
18 목적함수 l2,0,2021-07,11.905350778945346,19.586905486397118,28.98150502928312,648
18 목적함수 l2,0,2021-08,9.283658846826322,12.039471160717872,7.816763794689492,725
18 목적함수 l2,1,ALL,11.409430461513251,19.61955926737889,20.490049600504133,1757
18 목적함수 l2,1,2021-05,18.780396793515987,32.55896026680206,18.199781048539048,336
18 목적함수 l2,1,2021-06,1.1849816653516239,1.6017399550640745,,48
18 목적함수 l2,1,2021-07,11.485004504846879,18.45516500064724,28.0682054137438,648
18 목적함수 l2,1,2021-08,8.602750288523795,11.703260886629883,6.997089846050436,725
18 목적함수 l2,2,ALL,11.299657562353746,19.52289587365731,20.685436662992608,1757
18 목적함수 l2,2,2021-05,18.06550407573449,31.81384909006685,19.65409526623801,336
18 목적함수 l2,2,2021-06,1.0089797132620355,1.303794623669779,,48
18 목적함수 l2,2,2021-07,11.489436941587176,18.756330638477973,28.39658201677972,648
18 목적함수 l2,2,2021-08,8.675728004446446,11.834983577506627,6.8417302690224355,725
19 분위 0.6,0,ALL,9.914290807810989,18.580050395512,14.459718810833074,1757
19 분위 0.6,0,2021-05,19.985996111568554,36.31666212782182,15.7291371915102,336
19 분위 0.6,0,2021-06,1.1972670301540527,1.4977483290158413,,48
19 분위 0.6,0,2021-07,7.275533861730709,11.040013432581546,17.218362042646813,648
19 분위 0.6,0,2021-08,8.182206201362725,10.783830653002736,9.363449604162886,725
19 분위 0.6,1,ALL,9.496668358785035,18.148710156075953,14.115683302951435,1757
19 분위 0.6,1,2021-05,18.654692959178192,35.24475817143158,12.97566855114486,336
19 분위 0.6,1,2021-06,1.2318368696424058,1.5094456905760796,,48
19 분위 0.6,1,2021-07,7.3158259440567495,11.130813497663027,17.192793905976,648
19 분위 0.6,1,2021-08,7.748808400841139,10.566237654208386,8.655291752907624,725
19 분위 0.6,2,ALL,9.965706016445933,19.252328136466364,15.165463664705314,1757
19 분위 0.6,2,2021-05,19.842642155018797,37.67079569487942,15.104724861962945,336
19 분위 0.6,2,2021-06,1.2271273852857827,1.5035594371843772,,48
19 분위 0.6,2,2021-07,7.505344968904241,11.277611109516808,17.38234697238827,648
19 분위 0.6,2,2021-08,8.165864899952442,11.258583083806451,11.164844600185447,725
20 분위 0.7,0,ALL,11.210300098614765,20.139797613130614,12.307533792597782,1757
20 분위 0.7,0,2021-05,20.221665562763434,37.86419903980058,9.864221090679433,336
20 분위 0.7,0,2021-06,1.0942478350578873,1.3470656313428526,,48
20 분위 0.7,0,2021-07,7.68412364097075,10.847895027105855,15.053857731169682,648
20 분위 0.7,0,2021-08,10.855422936201109,14.602562226471054,7.559203930083501,725
20 분위 0.7,1,ALL,11.505007648703268,20.317079265607074,13.07759114896604,1757
20 분위 0.7,1,2021-05,20.696893730734104,37.94392108805211,13.96667731824084,336
20 분위 0.7,1,2021-06,1.1366475464182946,1.3871290015788154,,48
20 분위 0.7,1,2021-07,7.48412191808784,10.774969642094733,14.674210351709247,648
20 분위 0.7,1,2021-08,11.525340772546187,15.139936388304807,10.114482223897191,725
20 분위 0.7,2,ALL,11.142528140139527,20.596970794491554,13.25537113475126,1757
20 분위 0.7,2,2021-05,21.87135870558881,39.786138770541164,12.527295274831413,336
20 분위 0.7,2,2021-06,1.0201584478471692,1.297731759753538,,48
20 분위 0.7,2,2021-07,7.556469326636765,11.142270076177157,15.51008236173736,648
20 분위 0.7,2,2021-08,10.045635431710373,13.543509641691234,9.244934694751793,725
21 피크행 가중 3배,0,ALL,9.396811032311554,17.6293124316467,14.684331953764719,1757
21 피크행 가중 3배,0,2021-05,18.791451199913155,34.269410581888295,16.870190708003285,336
21 피크행 가중 3배,0,2021-06,1.4995180333857805,1.8553933934950202,,48
21 피크행 가중 3배,0,2021-07,6.953420130578882,10.788307239079769,16.659705764931882,648
21 피크행 가중 3배,0,2021-08,7.749622441907511,10.230611998425537,10.923054825318914,725
21 피크행 가중 3배,1,ALL,9.453686092761203,17.3368753467602,15.466120274152871,1757
21 피크행 가중 3배,1,2021-05,17.97542415750565,32.79069242525319,15.133150044706273,336
21 피크행 가중 3배,1,2021-06,1.4887615940744439,1.8666180564977937,,48
21 피크행 가중 3배,1,2021-07,7.720383412404931,11.726798413261742,18.493242333443792,648
21 피크행 가중 3배,1,2021-08,7.580848193524918,10.341797192785215,10.025265520473361,725
21 피크행 가중 3배,2,ALL,9.233537119321483,17.768481510267613,15.381068013033572,1757
21 피크행 가중 3배,2,2021-05,18.52613668067302,34.429930114973445,15.483371717627074,336
21 피크행 가중 3배,2,2021-06,1.3952651792748856,1.7465375042355884,,48
21 피크행 가중 3배,2,2021-07,7.391958466164074,11.237225280609609,17.459335506385,648
21 피크행 가중 3배,2,2021-08,7.0918358334651,10.133199135455461,11.61662818253946,725
22 피크행 가중 6배,0,ALL,9.39168015004191,18.299019051393415,12.811453111126031,1757
22 피크행 가중 6배,0,2021-05,18.88430098938598,35.89119672847494,13.546550641699572,336
22 피크행 가중 6배,0,2021-06,1.4772349927531476,1.8377520957025903,,48
22 피크행 가중 6배,0,2021-07,7.235359804425909,10.88850082454339,15.940436927600421,648
22 피크행 가중 6배,0,2021-08,7.443636494165259,10.407040457294572,7.092842220779891,725
22 피크행 가중 6배,1,ALL,9.538887877796949,18.833344481190846,12.960728244846024,1757
22 피크행 가중 6배,1,2021-05,19.599757690338205,37.26788243582575,12.568241990420693,336
22 피크행 가중 6배,1,2021-06,1.4694432654981788,1.8413090609762481,,48
22 피크행 가중 6배,1,2021-07,7.005231700852219,10.659516879770575,16.238825541084232,648
22 피크행 가중 6배,1,2021-08,7.675012411640624,10.682773854666847,7.0715775388739255,725
