model,fset,clone,MAE,RMSE,peakMAE,n,group,part
baseline_lag168,-,keep,26.760956175298805,52.53778757719034,44.609756097560975,1757.0,고유일,개발 합산
baseline_lag24,-,keep,37.26465566306204,62.608321612359774,43.51219512195122,1757.0,고유일,개발 합산
baseline_요일x시간 평균,-,keep,29.738227943391536,39.71190171916833,37.32266576735271,1757.0,고유일,개발 합산
baseline_전체 평균,-,keep,52.48199054619171,59.79846155885763,90.41085546192379,1757.0,고유일,개발 합산
ensemble,full,down,14.944768791023149,24.59446738614201,17.005727043328967,1757.0,고유일,개발 합산
ensemble,full,drop,22.015808310427822,35.32405338401621,26.177919789385253,1757.0,고유일,개발 합산
ensemble,full,keep,13.903696635863694,24.184298710641738,17.651265128954048,1757.0,고유일,개발 합산
ensemble,no_plan,down,15.02035382550228,25.764600977438747,23.189198921970238,1757.0,고유일,개발 합산
ensemble,no_plan,drop,27.810578953523866,38.67289883628799,41.52671636465379,1757.0,고유일,개발 합산
ensemble,no_plan,keep,14.72400155081253,25.629619754078224,22.168988376656575,1757.0,고유일,개발 합산
lgbm,full,down,15.940638275159722,26.65674655299609,19.177653223088257,1757.0,고유일,개발 합산
lgbm,full,drop,22.14103025691427,36.02425934186688,25.850186296441713,1757.0,고유일,개발 합산
lgbm,full,keep,14.329654578048782,25.2895726430186,19.397497398153956,1757.0,고유일,개발 합산
lgbm,no_plan,down,15.999840173260147,27.60775753841593,22.852578004771175,1757.0,고유일,개발 합산
lgbm,no_plan,drop,35.254803832826774,51.55990488863078,57.461373963955374,1757.0,고유일,개발 합산
lgbm,no_plan,keep,15.7282848209517,27.747385594210673,21.874165350822018,1757.0,고유일,개발 합산
ridge,full,down,18.875948551706195,26.013066042824505,14.424722379136147,1757.0,고유일,개발 합산
ridge,full,drop,53.09968618455664,100.07366052616746,41.75462785745842,1757.0,고유일,개발 합산
ridge,full,keep,19.351557565882533,26.832169415514617,12.689817952115474,1757.0,고유일,개발 합산
