fset,clone,ridge_w,MAE,RMSE,peakMAE,n
full,down,0.0,15.940638275159722,26.65674655299609,19.177653223088257,1757.0
full,drop,0.0,22.14103025691427,36.02425934186688,25.850186296441713,1757.0
full,keep,0.0,14.329654578048782,25.2895726430186,19.397497398153956,1757.0
no_plan,down,0.0,15.999840173260147,27.60775753841593,22.852578004771175,1757.0
no_plan,drop,0.0,35.254803832826774,51.55990488863078,57.461373963955374,1757.0
no_plan,keep,0.0,15.7282848209517,27.747385594210673,21.874165350822018,1757.0
full,down,0.1,15.409370515028312,25.811881349362984,18.405604696836097,1757.0
full,drop,0.1,22.015808310427822,35.32405338401621,26.177919789385253,1757.0
full,keep,0.1,14.022927435590779,24.653574236533455,18.518540569435917,1757.0
no_plan,down,0.1,15.520543267658018,26.990477733007843,22.896390047722846,1757.0
no_plan,drop,0.1,33.78312206361977,49.57706222913741,55.62595651857426,1757.0
no_plan,keep,0.1,15.274279879726103,27.05387079634884,21.919223663604537,1757.0
full,down,0.2,15.078003979935856,25.120146931617207,17.674952804917154,1757.0
full,drop,0.2,24.641127447983866,37.45187606295424,27.63522685370026,1757.0
full,keep,0.2,13.903696635863694,24.184298710641734,17.651265128954048,1757.0
no_plan,down,0.2,15.194396670357067,26.473688008645773,22.97457609650025,1757.0
no_plan,drop,0.2,32.45820995103652,47.70817412600052,53.79473771184067,1757.0
no_plan,keep,0.2,14.976671865433774,26.4651361458854,21.984276836469995,1757.0
full,down,0.3,14.944768791023149,24.59446738614201,17.005727043328967,1757.0
full,drop,0.3,27.841674574346783,41.979877091342885,29.196241330383323,1757.0
full,keep,0.3,13.978799692524932,23.891572341190916,16.81306046048666,1757.0
no_plan,down,0.3,15.027569611256396,26.063366664138577,23.062906507270366,1757.0
no_plan,drop,0.3,31.3143686685488,45.9671418474079,51.998499542538575,1757.0
no_plan,keep,0.3,14.782223114589993,25.98830363409566,22.073464218791166,1757.0
full,down,0.4,14.971243080988614,24.245646026028876,16.390111024811404,1757.0
full,drop,0.4,31.165011842770546,48.23681091640427,30.812296007863008,1757.0
full,keep,0.4,14.239516050372039,23.781915336294936,15.994016714336546,1757.0
no_plan,down,0.4,15.020353825502276,25.764600977438747,23.189198921970238,1757.0
no_plan,drop,0.4,30.377259008117367,44.36901906534066,50.20545121149274,1757.0
no_plan,keep,0.4,14.72400155081253,25.629619754078224,22.168988376656575,1757.0
full,down,0.5,15.156476516354724,24.081369510484603,15.797615329818738,1757.0
full,drop,0.5,34.565188470245594,55.64245286628668,32.49203399802287,1757.0
full,keep,0.5,14.66421033145269,23.85785213531536,15.204744553608917,1757.0
no_plan,down,0.5,15.162156132332072,25.581299844828784,23.325372369464787,1757.0
no_plan,drop,0.5,29.621990922910783,42.92976878623176,48.44741513673469,1757.0
no_plan,keep,0.5,14.788914428617595,25.394091440772403,22.266322967526452,1757.0
full,down,0.6,15.548635227958737,24.10541111142944,15.289972760171379,1757.0
full,drop,0.6,38.05243517453418,63.79802490187485,34.270430395102565,1757.0
full,keep,0.6,15.296201789852738,24.117629719314724,14.49480972971967,1757.0
no_plan,down,0.6,15.414814555155937,25.515951805537824,23.487735795250455,1757.0
no_plan,drop,0.6,28.99025990697406,41.665857908796085,46.77319750401076,1757.0
no_plan,keep,0.6,14.966923171007,25.28516046753452,22.393393856694107,1757.0
full,down,0.7,16.15338824909279,24.31721228412244,14.892292794978685,1757.0
full,drop,0.7,41.6730174554721,72.45071558373226,36.08343318471389,1757.0
full,keep,0.7,16.13550699827687,24.555414094755236,13.823204331504236,1757.0
no_plan,down,0.7,15.760523358770715,25.56946123603532,23.675627344622548,1757.0
no_plan,drop,0.7,28.478999683604417,40.59366766541998,45.192418481986984,1757.0
no_plan,keep,0.7,15.28478223962711,25.304461820766264,22.547722524265094,1757.0
full,down,0.8,16.911894748490333,24.711945750196314,14.60056824178112,1757.0
full,drop,0.8,45.40033818956658,81.4422321809809,37.91546862314568,1757.0
full,keep,0.8,17.109536246397102,25.16191572141051,13.255135147883943,1757.0
no_plan,down,0.8,16.20237026674198,25.741086920073695,23.866949818647466,1757.0
no_plan,drop,0.8,28.10708362240974,39.7287234353566,43.84145044592872,1757.0
no_plan,keep,0.8,15.719826498389322,25.451703766373896,22.709181161453436,1757.0
full,down,0.9,17.83700788221672,25.28104415010854,14.413782831844827,1757.0
full,drop,0.9,49.205662978996145,90.67183114649251,39.776107678445655,1757.0
full,keep,0.9,18.170529017498914,25.925296285623364,12.811698821894163,1757.0
no_plan,down,0.9,16.7637119808428,26.028492471127823,24.07436110884905,1757.0
no_plan,drop,0.9,27.894314883757215,39.084786670691365,42.63286989194528,1757.0
no_plan,keep,0.9,16.246089549962765,25.724689494469544,22.878939906508176,1757.0
full,down,1.0,18.875948551706195,26.013066042824505,14.424722379136147,1757.0
full,drop,1.0,53.09968618455664,100.07366052616746,41.75462785745842,1757.0
full,keep,1.0,19.351557565882533,26.832169415514617,12.689817952115474,1757.0
no_plan,down,1.0,17.407282032841852,26.427900812955585,24.32093072851455,1757.0
no_plan,drop,1.0,27.810578953523866,38.67289883628799,41.52671636465379,1757.0
no_plan,keep,1.0,16.85166711072092,26.119476697772466,23.096573785109886,1757.0
