feature,gain_share
prod,0.3088136780637479
lag168,0.18311714320743155
lag_week_mean4,0.06778922008096235
lag336,0.06483353760381451
shift,0.06285075548298982
is_off,0.05270873049078778
prod_cap,0.028080563722507442
month,0.02387842206230664
day_prod,0.022684549734202385
lag24,0.020454296266043583
prod_next,0.018978698827763717
last_week_day_mean,0.018427811468102594
temp,0.017979040056699994
last_week_day_max,0.015139609772461362
hour,0.013901023694280977
prev_day_max,0.012582977294022694
lag_prev_op,0.011412151971250123
prev_day_mean,0.010434756940896047
prod_prev,0.009795849960530432
humid,0.009200711784390398
dow,0.0082149892476052
thi,0.006449360789772598
day_prod_hours,0.0054169943973413
wind,0.003694655528527811
prod_diff,0.0014681076280170307
rain,0.0006769315121874467
cool,0.0004337625672057336
after_off,0.00023383189367281199
is_transition,0.00016023918952771165
is_weekend,0.00010372041547763795
prod_log,5.294870213935492e-05
prod_zero,3.0929643333113054e-05
